KLBN11,2017-04-26,0.054663
QUAL3,2015-05-04,0.424009
LREN3,2014-04-22,0.137135
GGBR4,2012-11-13,0.07
MRVE3,2010-05-17,0.171394
MRVE3,2015-05-04,0.387787
B3SA3,2015-12-14,0.084171
ELET3,2010-02-01,3.252271
SANB4,2010-03-23,0.046987
CCRO3,2018-04-17,0.049592
BBDC4,2011-07-04,0.0057
ITUB4,2011-02-01,0.005464
JBSS3,2010-05-03,0.026459
VIVT3,2014-11-03,0.25535
VVAR3,2013-04-15,0.003634
BRFS3,2014-07-01,0.414214
RENT3,2016-01-04,0.048218
CSNA3,2015-03-12,0.202633
BBDC3,2015-03-03,0.0074
HYPE3,2019-04-12,0.25472
ITUB4,2011-05-02,0.005464
BBDC4,2011-09-02,0.00627
BBDC4,2013-02-06,0.028668
BBDC4,2017-12-04,0.01188
BBDC3,2016-10-03,0.325071
BBDC3,2016-11-03,0.009818
LCAM3,2018-01-09,0.072061
BBDC4,2013-06-28,0.089292
CPLE6,2019-12-26,0.246692
FLRY3,2018-03-07,0.647735
B3SA3,2015-05-19,0.04137
EGIE3,2016-08-09,0.790752
ENBR3,2015-12-22,0.030253
BBDC4,2015-07-02,0.009818
PCAR3,2010-11-18,0.072663
VIVT3,2017-01-02,0.335519
RADL3,2016-12-16,0.030364
TAEE4,2019-05-06,0.055316
EQTL3,2018-01-04,0.022
ITUB4,2016-05-02,0.009091
HGTX3,2019-09-27,0.12
BBAS3,2010-12-23,0.203766
CIEL3,2014-09-15,0.392998
ITSA4,2018-02-23,0.608409
YDUQ3,2011-04-20,0.155787
CMIG4,2014-11-10,0.730018
TOTS3,2021-04-22,0.09
BBDC3,2021-02-02,0.015681
WEGE3,2010-06-30,0.007396
ITUB4,2012-02-01,0.005464
EGIE3,2014-11-26,0.273309
GGBR4,2019-11-12,0.04
BBDC3,2020-08-04,0.015681
BBDC3,2014-06-25,0.080739
GGBR4,2018-05-22,0.08
GOAU4,2021-03-12,0.08
TOTS3,2017-08-04,0.067011
ITUB4,2011-03-04,0.17385
B3SA3,2011-11-18,0.04038
BRSR6,2010-12-16,0.158792
COGN3,2013-08-09,0.022069
ITUB4,2020-05-04,0.015
VIVT3,2015-11-03,0.048872
BBDC3,2015-09-02,0.00888
ITUB4,2015-03-02,0.008264
TAEE4,2019-08-09,0.240669
EZTC3,2011-04-27,0.289432
ITUB4,2017-02-21,0.516933
WEGE3,2016-06-29,0.025656
CSNA3,2015-01-02,0.202358
RADL3,2015-09-22,0.023931
BBDC3,2010-02-11,0.007596
ENGI11,2012-03-22,0.180004
BBAS3,2014-09-12,0.336522
EQTL3,2016-12-27,0.056
ECOR3,2011-11-09,0.247705
BRDT3,2020-12-22,0.4278
MRVE3,2014-05-16,0.300584
WEGE3,2012-09-26,0.009615
SAPR4,2010-01-04,0.008744
SBSP3,2020-04-29,1.3767
ITUB4,2021-05-03,0.015
BBDC3,2020-07-02,0.015681
CMIG4,2013-12-18,0.153011
CVCB3,2016-12-09,0.151186
BBDC3,2019-12-20,0.416016
CIEL3,2018-03-15,0.390077
BRSR6,2012-11-27,0.151837
ENGI11,2015-05-04,0.533383
MOVI3,2021-06-29,0.080166
BRSR6,2020-12-30,0.048902
TRPL4,2010-04-09,0.101875
RENT3,2016-10-03,0.047968
HYPE3,2020-12-29,0.29285
ABEV3,2010-09-30,0.031585
GGBR4,2018-11-22,0.13
IRBR3,2020-08-17,0.10162
PETR4,2010-05-24,0.17
COGN3,2016-08-18,0.106659
BBDC4,2011-08-02,0.0057
BBDC3,2011-03-02,0.005155
ITUB4,2012-09-03,0.00683
SANB4,2021-02-17,0.071968
EMBR3,2017-09-19,0.04
